"","Variables","Estimate","Std..Error","t.value","Pr...t..","Estimate.2011","Std..Error.2011","t.value.2011","Pr...t...2011","Estimate.2013","Std..Error.2013","t.value.2013","Pr...t...2013","Estimate.2015","Std..Error.2015","t.value.2015","Pr...t...2015","Estimate.2017","Std..Error.2017","t.value.2017","Pr...t...2017","Estimate.hypertention_aware","Std..Error.hypertention_aware","t.value.hypertention_aware","Pr...t...hypertention_aware"
"1","(Intercept)",-6.73184619574459,0.716538588413389,-9.3949527696069,7.77466228561599e-21,-7.16544005512605,1.47872660763903,-4.84568277740438,1.38514606540654e-06,-5.58378030920973,0.869379112496254,-6.42272195058492,1.74128624456608e-10,-8.76479921835381,1.97311024741277,-4.44212340889041,9.63977183459038e-06,-8.64991345021924,1.54472032004343,-5.59966314806814,2.35537147456818e-08,-0.986322010259254,0.343369501204868,-2.87247995759173,0.00408692543638379
"2","bp_med_combinationYes",0.367972680175472,0.167995372212428,2.19037390928945,0.0285328211508391,NA,NA,NA,NA,NA,NA,NA,NA,0.23960429563907,0.367514637188506,0.6519585110189,0.514539577743201,0.723853483035945,0.260721143784699,2.77635128677441,0.0055337070639942,NA,NA,NA,NA
"3","bp_med_aceYes",1.08650729816428,0.328208682604385,3.31041607291643,0.000936692129324696,0.635220761713497,0.309271498580224,2.05392596676257,0.0401464728994539,0.986448185326183,0.278498907999238,3.54201814439029,0.000407998528500708,1.12111042722578,0.358955899669472,3.12325393804115,0.00182689031314204,0.234192811648779,0.382617775865338,0.612080322507553,0.540534137230182,NA,NA,NA,NA
"4","bp_med_aldoYes",1.51346119587859,0.389944813857668,3.8812189368699,0.000104971187088649,0.510288458326367,0.894163383598623,0.570688162461625,0.568291888664178,1.3394140076605,0.585952118031628,2.28587621145556,0.02238641493758,1.51099375131722,0.616601348163261,2.45051970096755,0.0143919317133929,0.493813451834745,0.526662633315387,0.937627658765434,0.348516371542424,NA,NA,NA,NA
"5","bp_med_angiotenYes",0.516481658236885,0.332552633701108,1.55308244739715,0.120452524004454,0.230587451778438,0.380627377909516,0.605808896472114,0.544728345897672,0.494163089296937,0.301722644294226,1.63780577507816,0.101650830804602,0.457191983271036,0.388050966023157,1.17817509374208,0.238935681994849,-0.51157022751252,0.377017817562046,-1.35688607721658,0.174926397752967,NA,NA,NA,NA
"6","bp_med_betaYes",0.6735843901905,0.324641412573291,2.07485663905689,0.0380393981515662,-0.399164300563621,0.310994046203618,-1.28351106857614,0.199500581628029,0.480322528005673,0.273311280442155,1.7574193323767,0.07902979033181,0.661564692102381,0.329452066053921,2.00807571197354,0.0448353352171203,-0.196355666476264,0.380936902973352,-0.515454567262022,0.606275958176706,NA,NA,NA,NA
"7","bp_med_centralYes",-0.0917447707698516,0.400724059748181,-0.2289474977557,0.818916984962602,0.457231990657584,0.826544766425996,0.553184787116454,0.580214848039251,NA,NA,NA,NA,-1.01975615548477,0.857136265146695,-1.18972466450273,0.234365065899829,-1.39467610639548,0.690720551389521,-2.01916115510073,0.0435652533395639,NA,NA,NA,NA
"8","bp_med_ccbYes",-0.122337622233079,0.405051905075709,-0.302029494738983,0.76263932115011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.62453744328113,0.375451581218032,-1.66343005203232,0.0963378921886665,NA,NA,NA,NA
"9","bp_med_ccb_dhYes",0.574235617902396,0.274831211092064,2.08941195441604,0.0367097607253397,NA,NA,NA,NA,0.883408814880859,0.275612688395646,3.20525451866248,0.00137496251998119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","bp_med_diur_KsparingYes",0.280668792618067,0.435370778395081,0.644666124935403,0.519166510304516,NA,NA,NA,NA,NA,NA,NA,NA,0.550919290872576,0.583962619679226,0.943415335685696,0.345638308441011,-0.265066248745332,0.566595073001088,-0.467823073965952,0.639947397955577,NA,NA,NA,NA
"11","bp_med_diur_loopYes",0.605216215899182,0.358345280978627,1.68891917383804,0.091283277763387,0.48681553405666,0.469109404836854,1.03774413609543,0.29954737652971,NA,NA,NA,NA,0.0281844445745711,0.563556419421088,0.0500117532216624,0.960120464518232,0.0372937717613534,0.440435606881396,0.0846747428651839,0.932526008008993,NA,NA,NA,NA
"12","bp_med_diur_thzYes",0.591603243150987,0.336519813155366,1.75800419477189,0.0787942436603681,0.703854010676768,0.300009781030066,2.34610354455821,0.0190933958884686,0.338397220680756,0.271553913343576,1.24615114735102,0.212883899420301,0.328007503993529,0.357668720412171,0.917070700550888,0.359270366831803,-0.363223884647568,0.402790442977862,-0.901768875056281,0.367256941834307,NA,NA,NA,NA
"13","bp_med_renin_inhibitorsYes",0.391721148422243,1.17700495635925,0.332811808740321,0.739287165184213,NA,NA,NA,NA,0.416773918669055,0.957215151022795,0.435402551060467,0.663326592012446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","bp_med_vasodYes",0.650743152809783,0.426267365537816,1.52660795880714,0.126907581696545,0.00828943183376464,0.764963647853124,0.0108363735414473,0.991355356931582,NA,NA,NA,NA,NA,NA,NA,NA,-0.255465677861118,0.650031884646199,-0.393004841601214,0.694345717155766,NA,NA,NA,NA
"15","cc_ckdYes",-0.360247402005585,0.113662358962945,-3.16945209735642,0.00153441015099059,-0.401075758940415,0.239457350315623,-1.67493609367917,0.0941439095937875,-0.477497820532364,0.197810708468902,-2.41391289798364,0.0158893461101556,-0.704364349268949,0.256878559317256,-2.74201300077764,0.00618753347805867,-0.0634203071077549,0.16655588658573,-0.380774936316111,0.703399041774578,0.531640570452564,0.117600520182118,4.52073315346952,6.28102513550767e-06
"16","cc_cvd_hfYes",0.23740788441733,0.234660234676094,1.01170905562687,0.311715152095027,NA,NA,NA,NA,NA,NA,NA,NA,0.950709266957332,0.537910677410541,1.7674110347353,0.0773866429161744,NA,NA,NA,NA,0.369712689320424,0.500517316466054,0.738661135504387,0.460141688095311
"17","cc_cvd_anyYes",0.180277572182745,0.152357547713398,1.18325330702925,0.236752401939734,NA,NA,NA,NA,0.948183382949019,0.530336902516237,1.78788875232002,0.0739754319740345,0.0187299934710127,0.489798435710481,0.0382402067982185,0.969501851474593,NA,NA,NA,NA,-0.0196316254532986,0.613558452075212,-0.0319963409955473,0.974476033291302
"18","SIALANG2",-0.493354720532942,0.221423581488186,-2.22810378739748,0.0259079577514006,-0.747361980527098,0.470453175269464,-1.58860014091525,0.1123500121701,-0.520742878719832,0.417605070614389,-1.2469745109984,0.212581909573293,-0.61538473331008,0.396235661899754,-1.55307760629019,0.120640378020536,-0.781453886665024,0.38903266614133,-2.00871020527909,0.0446633726119852,NA,NA,NA,NA
"19","INDFMPIRLow",-0.0148792679012803,0.145372166870062,-0.10235293468921,0.918479723289977,0.677236669747638,0.308739014074567,2.19355714332906,0.0284119617168914,NA,NA,NA,NA,-0.302005667268936,0.308154121136075,-0.980047471555882,0.327239327432161,0.201507411857667,0.232276428495839,0.867532763279406,0.385724245291521,NA,NA,NA,NA
"20","INDFMPIRMiddle",0.193820943312426,0.155939452300041,1.24292435591923,0.213940910872539,1.15801326159009,0.516275973919778,2.24301210997285,0.0250336431725747,NA,NA,NA,NA,0.309604390628309,0.339006992027759,0.913268451415766,0.361265410671758,0.517724208357239,0.254852305681485,2.0314676258189,0.0423015060217695,NA,NA,NA,NA
"21","HIQ0112",-0.389079488753936,0.190716518647146,-2.04009328354923,0.0413817046891784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.713857873647869,1.10864145357329,0.643903284823977,0.519662767416559
"22","avg_DR1TSUGR",0.000748888033798163,0.00105603029038025,0.709153933007458,0.478254600744047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","avg_DR1TFIBE",-0.00537504802988866,0.00914433263824066,-0.587801017584462,0.556686448356059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0144821146264634,0.0147306811499686,-0.983125931450512,0.325630101220465,NA,NA,NA,NA
"24","avg_DR1TATOC",-0.0480674602390403,0.0213114598619611,-2.25547477978438,0.0241369320662796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","avg_DR1TATOA",0.0274929578188528,0.0265500568533455,1.03551408461065,0.300467731131614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0364473755537926,0.0236812748192815,-1.53907996220359,0.123897368196335,0.0311650194374561,0.017252721232711,1.80638283184959,0.0709086547278092
"26","avg_DR1TRET",0.000259959362232049,0.000132882393659492,1.95631155545098,0.0504715780194129,NA,NA,NA,NA,NA,NA,NA,NA,0.000244130131557633,0.000161128426859864,1.51512763027195,0.129975571834104,0.000619752400352204,0.000690393302126712,0.897680204085261,0.369432970853572,-1.10436732079381e-05,9.9447844305562e-05,-0.111049900428263,0.911580491556663
"27","avg_DR1TCRYP",-0.000143306413127756,0.000276731641270872,-0.517853370397511,0.604578347030636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","avg_DR1TLZ",1.55885017921141e-05,1.44841349253041e-05,1.07624665694605,0.28185723065423,NA,NA,NA,NA,4.58271589493833e-05,4.16325158821626e-05,1.10075401349977,0.27116255488816,NA,NA,NA,NA,NA,NA,NA,NA,6.59836290639555e-06,1.34560458615765e-05,0.490364180850264,0.62389415240406
"29","avg_DR1TNIAC",-0.00434250202688547,0.00573151449442684,-0.757653501724193,0.448686133500733,0.00018211826649265,0.0155225010817118,0.0117325336641282,0.990640482876529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","avg_DR1TVD",0.025819791377774,0.0138905719084843,1.85879973466055,0.0631010661341308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0240512541612383,0.0224246105880411,1.07253831975413,0.283570412095124,NA,NA,NA,NA
"31","avg_DR1TSELE",-0.000560767986430332,0.00171437752973083,-0.327097139752163,0.743605034520393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","avg_DR1TCAFF",9.14612231150041e-05,0.000340373018130437,0.26870879371512,0.788162382126264,-0.00120295420144461,0.0006734118091596,-1.78635744886308,0.0742323671828372,NA,NA,NA,NA,NA,NA,NA,NA,0.00036632221436784,0.000455327896567645,0.804523986185015,0.421162482290499,NA,NA,NA,NA
"33","avg_DR1TTHEO",0.000261710897451067,0.00102430177834178,0.255501750543424,0.798343742452724,0.00545221314361209,0.00215159326398445,2.53403523559808,0.0113712865909311,0.000523530599332922,0.00155694830086992,0.336254324591514,0.736721384879591,NA,NA,NA,NA,NA,NA,NA,NA,-0.000924532931124101,0.000782679458293584,-1.1812408276816,0.237553893119965
"34","avg_DR1TALCO",-0.00675539739799029,0.0028568460280342,-2.36463475164557,0.0180773187838803,NA,NA,NA,NA,NA,NA,NA,NA,-0.00959607185629599,0.00561830115081556,-1.70800240120682,0.0878671634794735,-0.00621483200137617,0.00443269584070503,-1.40204341211638,0.161012736402276,NA,NA,NA,NA
"35","avg_DR1TMOIS",0.000111609240240783,5.58921358015283e-05,1.99686840805484,0.0458814474357306,0.00043971276218802,0.000146950163025675,2.99225773646263,0.00281198696434508,NA,NA,NA,NA,NA,NA,NA,NA,2.14425115616681e-05,7.75725037199787e-05,0.276418969781759,0.782246616857421,NA,NA,NA,NA
"36","avg_DR1TM181",0.0105921896107421,0.0073964209215942,1.43206960812867,0.152172380666786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0943169387872204,0.150462194658487,0.626848086333562,0.530809742583853,NA,NA,NA,NA
"37","avg_DR1TP204",-0.398934250227317,0.651966110519058,-0.611894151844348,0.540629368656032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","avg_DR1BWATZ",1.74277434711764e-06,7.2389563228862e-05,0.0240749393888149,0.980793578081847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","follow_activity_guidelineYes",-0.0532267304498349,0.122695647980231,-0.433811070938806,0.664440157118594,-0.128739840602897,0.303679254636307,-0.423933603094089,0.671671726239503,0.310864082943916,0.221134302277548,1.40577051928266,0.159978518702731,-0.370525826221965,0.286246229938039,-1.29443041503872,0.195739476533712,-0.118206603383761,0.168745380805812,-0.700502750471078,0.483671383093593,NA,NA,NA,NA
"40","DPQMild",0.0685244900058799,0.130737168487509,0.524139315533874,0.600199663602896,-0.230055483417404,0.280223597878819,-0.820971128623117,0.41178609344063,0.10749390549658,0.233632669422679,0.460097921075009,0.645505904162307,-0.276698886493811,0.276462479892693,-1.00085511278496,0.317077286804953,0.506976700525933,0.202458401050521,2.50410305472788,0.0123324798733001,0.205327893622293,0.12923463547042,1.58879926325393,0.112158417125178
"41","DPQModerate",-0.152031267685698,0.207685813998008,-0.73202528742361,0.464179742309776,-0.030918457665076,0.437165053918467,-0.0707249067324638,0.943625614289437,-0.198822437801279,0.381450242854448,-0.521227713248946,0.602277342263481,-0.180199485996334,0.500183101372796,-0.36026704121303,0.718704136078009,0.136682241391977,0.289752969143744,0.471719899181326,0.637163356029053,0.649634370613228,0.218625901752631,2.97144284096891,0.002975801708923
"42","DPQModerately severe",0.0244004515854106,0.275756323263802,0.0884855560032543,0.92949351230371,-0.541325443404826,0.653908572419548,-0.827830473917555,0.407891058600495,0.144498137045444,0.388379243531324,0.372054221362603,0.709899740203697,0.260339404557932,0.720320193181368,0.361421777457211,0.717841062582281,-0.0118089951201445,0.426224050866467,-0.027706074061607,0.977898546578962,0.385311342851405,0.325140437249911,1.18506128032068,0.236040161450751
"43","DPQSevere",1.01971042947932,0.511593571685723,1.99320414859656,0.0462811711770288,-0.0119268649281577,0.678739291320793,-0.0175720856014518,0.985982435908368,1.77769067830347,1.29628684796826,1.37137137593407,0.170443668993069,0.983803257847698,0.740795044530722,1.32803703954434,0.184391691532146,1.41211051027802,0.647486027405125,2.18091271550247,0.0292725302003041,0.665430694048823,0.421376377000549,1.57918367134273,0.114346656835744
"44","bp_med_n_classOne",2.3635707571846,0.416887079829665,5.66957066203713,1.49354590550029e-08,2.5519616014835,0.609467593657835,4.18719818418469,2.97937054972787e-05,1.93230034874353,0.391369936633547,4.93727332601128,8.71477312078219e-07,3.89731404431387,0.825316014974642,4.72220818886402,2.57762532604101e-06,3.84831138253796,0.725994422080942,5.30074510973159,1.24273757573304e-07,NA,NA,NA,NA
"45","bp_med_n_classTwo",1.89145645364324,0.677205408924554,2.79303211214304,0.00523704881966175,2.87609377852905,0.693629845509888,4.14643890707273,3.55548794323541e-05,1.76871022522469,0.523598866428022,3.37798711691412,0.000746986925818561,3.6213759102589,0.910401232456617,3.97778010524769,7.32756018242786e-05,4.09323339127329,0.931393937461226,4.39473913952086,1.15016966058508e-05,NA,NA,NA,NA
"46","bp_med_n_classThree",1.25733667552424,0.948681536495066,1.32535168774287,0.185101497642505,2.19661171930897,0.864841612805935,2.53990058616881,0.0111831326647926,0.972995178939873,0.695674901755932,1.39863487454264,0.162108401919042,3.44197750005324,1.02676051261913,3.35226906152945,0.000823834463288068,4.5125932555572,1.21370599933792,3.71802830176239,0.000204705574631125,NA,NA,NA,NA
"47","bp_med_n_classFour or more",0.236577223014121,1.2912778543318,0.183211709409005,0.854637668341798,1.77744949675045,1.00487562795354,1.76882536236876,0.0771151968792683,0.325708614027327,0.868507331783856,0.375021145024007,0.70769241833431,2.41186083082171,1.2821031412693,1.88117535414034,0.0601644045148641,4.27854028900262,1.56224092459061,2.73871988734632,0.00620680053336504,NA,NA,NA,NA
"48","demo_age_cat45 to 64",0.172681368141656,0.162766176172733,1.06091678383107,0.288767462820799,0.362150023772849,0.335862702144241,1.07826805852743,0.281078112477935,0.041631876839439,0.235878076543031,0.17649744075238,0.859924585403168,0.148447193201769,0.355999745556923,0.416986795789809,0.676754757135307,0.709073389064708,0.294409507791873,2.40845954460809,0.0160839994679424,0.788891718586545,0.113674220502834,6.93993515061645,4.3358679930311e-12
